ID,Name,Lat,Lon,Population,Area,Distance travelled,Road length
47000,Lake Park (GA),30.687508,-83.200745,3367,10.1501634044,,
51026,Lolo (MT),46.757538,-114.079689,2739,4.28902031072,,
04951,Bangor (ME),44.834066,-68.748807,61210,110.092624606,2591043.84,411.0
87436,Thomasville (GA),30.848482,-83.960104,24139,58.7564702711,,
93214,Wayland (MI),42.672199,-85.638804,4518,8.53660081167,,
89137,Tuscola (IL),39.800032,-88.275912,4791,7.61974502061,,
30979,Fortuna (CA),40.579704,-124.142384,13084,22.5095866669,,
23392,De Motte (IN),41.193027,-87.210945,4652,9.23330761335,,
44938,Kilgore (TX),32.399457,-94.875627,15957,45.702930195,,
74908,Ridgway (PA),41.426557,-78.732935,4410,8.0186031896,,
35690,Grifton (NC),35.38311,-77.431271,3688,14.8768917058,,
50041,Lindsay (CA),36.208703,-119.093361,14610,19.8393089252,,
21745,Cumberland (MD--WV--PA),39.647607,-78.804597,51899,84.5113120403,2138818.176,393.0
55279,Marysville (KS),39.845391,-96.642565,2937,3.90570207039,,
16102,Chesapeake Beach (MD),38.73071,-76.646639,23700,65.8478577172,,
75502,Robertsdale (AL),30.561397,-87.718939,7601,18.098836915,,
61246,Nashville (IL),38.341635,-89.384152,3238,4.12585105977,,
96778,Winterset (IA),41.336205,-94.017073,5043,4.89248754042,,
13645,Caribou (ME),46.856003,-68.00856,3974,6.34806085843,,
74692,Richmond (MI),42.810543,-82.752187,6140,8.71013001506,,
22285,Daphne--Fairhope (AL),30.597318,-87.837227,57383,143.083893156,,
77014,Rutland (VT),43.602518,-72.981685,19840,31.8128239593,,
88192,Torrington (CT),41.833896,-73.096601,42754,65.1666908442,,
59923,Mount Hood Village (OR),45.360498,-122.000969,3638,11.0385293263,,
26173,Edgerton (WI),42.839096,-89.05567,7208,13.3539786969,,
89083,Turlock (CA),37.496481,-120.859718,99904,66.7957933656,936638.208,149.0
93106,Waverly (TN),36.085749,-87.79262,3246,9.74353527108,,
96427,Winnfield (LA),31.924356,-92.645386,5376,11.056659243,,
64837,Odessa (MO),38.99684,-93.954667,5199,5.91035286779,,
97119,Woodstock (AL),33.225828,-87.110919,3664,14.9157415274,,
60868,Muskogee (OK),35.751755,-95.350144,42052,72.6232666138,,
26443,Eldon (MO),38.351041,-92.577313,4555,6.89454834971,,
34478,Granite Shoals (TX),30.605909,-98.393284,5573,13.5145579597,,
06976,Benson (MN),45.316565,-95.602636,3191,4.51434927632,,
73936,Red Springs (NC),34.804996,-79.168661,4185,7.96680342739,,
55306,Marysville (OH),40.236063,-83.370036,22348,26.7571671679,,
51337,Loogootee (IN),38.676779,-86.91344,2972,4.70600839648,,
65836,Orland (CA),39.744117,-122.196389,9282,15.1488404574,,
75475,Roaring Spring (PA),40.339521,-78.384292,7130,18.5753947273,,
32720,Gautier (MS),30.451498,-88.63762,3957,7.94090354629,,
16210,Chestertown (MD),39.214499,-76.063775,7153,10.2149131072,,
56305,Meridian (MS),32.390231,-88.699715,41531,83.6514359876,,
17344,Clarksville (TX),33.611534,-95.056076,3121,7.24678673272,,
52352,Mabton (WA),46.212947,-119.996102,2534,1.86220145133,,
56872,Middletown (IN),40.061411,-85.541539,2543,3.6078534377,,
